Local_Authority,OA_code,NSSEC_tot,NSSEC_1HigherManProf,NSSEC_2LowerManProf,NSSEC_3Intermediate,NSSEC_4SmallAccount,NSSEC_5LowerSupTech,NSSEC_6SemiRoutine,NSSEC_7Routine,NSSEC_8NoneUnemp,NSSEC_9UnClassif
Walsall,E00052475,316,43,75,43,54,32,41,27,1,0
Walsall,E00052476,114,20,21,12,16,4,12,15,14,0
Walsall,E00052478,345,46,96,47,61,26,45,20,2,2
Walsall,E00052479,390,65,96,41,60,42,45,40,1,0
Walsall,E00052481,280,49,94,34,25,29,27,8,14,0
Walsall,E00052482,318,70,90,32,72,19,29,6,0,0
Walsall,E00052483,263,62,61,19,39,30,29,20,3,0
Walsall,E00052484,380,78,102,58,38,52,37,6,5,4
Walsall,E00052485,353,120,116,38,47,9,21,0,2,0
Walsall,E00052487,304,73,79,32,63,17,17,14,5,4
Walsall,E00052488,198,48,55,29,36,7,12,7,4,0
Walsall,E00052489,340,131,104,23,40,12,14,15,1,0
Walsall,E00052490,280,47,83,43,52,6,32,16,1,0
Walsall,E00052491,308,74,118,30,44,18,10,11,3,0
Walsall,E00052492,304,56,133,21,57,17,16,0,4,0
Walsall,E00052493,342,86,86,53,56,16,23,18,4,0
Walsall,E00052494,332,23,85,51,46,23,36,60,8,0
Walsall,E00052495,264,24,84,27,41,11,33,32,7,5
Walsall,E00052496,307,18,56,46,48,49,46,38,6,0
Walsall,E00052497,432,69,109,37,75,33,58,40,11,0
Walsall,E00052498,434,29,76,46,35,30,113,73,30,2
Walsall,E00052499,327,12,56,32,35,53,58,68,11,2
Walsall,E00052500,310,18,61,27,33,45,54,61,11,0
Walsall,E00052501,315,24,74,24,50,54,42,44,1,2
Walsall,E00052502,318,50,48,26,30,40,53,67,4,0
Walsall,E00052503,338,16,24,16,33,41,69,126,7,6
Walsall,E00052504,258,5,42,17,16,32,48,70,24,4
Walsall,E00052505,347,53,46,44,34,40,72,37,19,2
Walsall,E00052506,282,48,56,36,27,23,51,31,6,4
Walsall,E00052507,306,33,62,17,36,48,59,40,8,3
Walsall,E00052508,291,16,51,22,43,38,24,91,3,3
Walsall,E00052509,281,17,46,17,22,37,56,71,11,4
Walsall,E00052510,305,22,42,39,46,59,48,38,11,0
Walsall,E00052511,385,27,61,21,54,42,65,95,15,5
Walsall,E00052512,384,16,87,33,67,58,63,55,5,0
Walsall,E00052513,321,16,73,10,42,47,52,63,14,4
Walsall,E00052514,292,22,70,33,36,31,54,37,5,4
Walsall,E00052515,284,13,49,28,26,38,60,58,7,5
Walsall,E00052516,322,36,80,57,53,32,22,36,6,0
Walsall,E00052517,383,56,104,41,64,35,44,33,6,0
Walsall,E00052518,363,44,97,28,57,50,46,27,14,0
Walsall,E00052519,312,66,80,39,32,20,27,41,7,0
Walsall,E00052520,351,5,25,46,26,10,90,73,76,0
Walsall,E00052521,294,10,40,18,24,27,66,65,42,2
Walsall,E00052522,315,10,33,21,28,25,73,86,37,2
Walsall,E00052523,320,44,87,34,46,40,40,28,1,0
Walsall,E00052524,296,16,64,45,45,41,39,32,14,0
Walsall,E00052525,308,16,29,15,39,59,51,86,10,3
Walsall,E00052526,374,12,63,31,40,35,92,78,23,0
Walsall,E00052527,323,13,37,25,25,34,64,82,38,5
Walsall,E00052528,308,7,45,56,20,50,67,54,9,0
Walsall,E00052529,337,9,27,25,17,26,85,85,61,2
Walsall,E00052530,236,4,30,10,12,31,71,45,30,3
Walsall,E00052531,332,21,79,50,48,39,62,28,5,0
Walsall,E00052532,361,36,63,37,38,52,61,68,4,2
Walsall,E00052533,287,9,53,27,23,39,78,41,17,0
Walsall,E00052534,351,32,59,33,20,48,101,54,4,0
Walsall,E00052535,335,28,42,27,14,41,70,81,29,3
Walsall,E00052536,413,21,62,25,45,43,80,98,35,4
Walsall,E00052537,399,10,44,21,35,27,88,98,71,5
Walsall,E00052538,279,3,30,20,6,23,72,72,53,0
Walsall,E00052539,301,6,32,30,24,38,55,71,44,1
Walsall,E00052540,435,63,66,26,69,68,51,79,13,0
Walsall,E00052541,337,19,67,31,37,40,63,58,12,10
Walsall,E00052542,476,15,88,43,55,30,97,92,44,12
Walsall,E00052543,373,42,57,42,37,40,66,77,9,3
Walsall,E00052544,345,30,69,36,28,29,60,58,29,6
Walsall,E00052545,346,15,45,64,44,41,63,54,15,5
Walsall,E00052546,198,11,22,20,20,23,34,39,27,2
Walsall,E00052547,335,10,67,40,58,44,54,52,10,0
Walsall,E00052548,324,16,45,40,22,32,68,68,33,0
Walsall,E00052549,197,4,24,20,18,20,50,40,21,0
Walsall,E00052550,318,35,50,39,32,47,69,29,16,1
Walsall,E00052551,322,33,45,27,43,24,60,66,19,5
Walsall,E00052552,396,23,60,48,41,60,52,76,36,0
Walsall,E00052553,260,18,31,17,21,27,43,69,33,1
Walsall,E00052554,294,2,25,12,25,18,96,72,42,2
Walsall,E00052555,412,6,49,39,12,27,92,129,55,3
Walsall,E00052557,320,32,46,25,65,34,46,49,23,0
Walsall,E00052558,348,10,38,30,19,18,110,80,36,7
Walsall,E00052559,311,6,63,11,28,51,72,61,19,0
Walsall,E00052560,278,14,22,22,36,26,53,64,36,5
Walsall,E00052561,380,12,42,26,32,37,92,103,33,3
Walsall,E00052562,315,19,45,24,14,50,68,58,33,4
Walsall,E00052563,268,29,41,25,23,24,57,36,33,0
Walsall,E00052564,311,14,66,31,20,20,58,92,10,0
Walsall,E00052565,250,0,15,29,19,12,61,67,35,12
Walsall,E00052566,255,17,25,25,25,34,53,64,12,0
Walsall,E00052567,309,26,32,32,30,42,90,44,12,1
Walsall,E00052568,277,6,21,29,39,25,75,38,42,2
Walsall,E00052569,347,33,68,46,41,50,58,47,3,1
Walsall,E00052570,292,13,41,37,20,16,77,48,36,4
Walsall,E00052571,287,4,45,34,18,24,68,68,24,2
Walsall,E00052572,308,8,36,60,31,40,71,46,16,0
Walsall,E00052573,306,20,55,30,28,30,62,59,22,0
Walsall,E00052574,287,18,62,22,32,34,63,47,4,5
Walsall,E00052575,309,7,27,22,5,49,48,82,64,5
Walsall,E00052576,381,13,43,36,16,22,90,89,72,0
Walsall,E00052577,477,32,80,60,30,46,73,101,50,5
Walsall,E00168239,225,41,49,5,58,11,24,37,0,0
Walsall,E00168240,167,10,29,12,6,12,34,25,33,6
Walsall,E00168241,110,16,18,10,13,8,13,20,7,5
Walsall,E00168242,189,13,24,14,19,8,44,43,22,2
Walsall,E00168243,203,31,58,35,8,8,39,12,3,9
Walsall,E00168244,319,5,14,20,110,5,78,37,50,0
Walsall,E00168245,399,16,25,11,66,23,89,72,80,17
Walsall,E00168246,247,20,53,31,18,23,26,39,28,9
Walsall,E00168247,356,34,67,54,42,24,33,51,43,8
Walsall,E00168248,311,69,91,38,8,24,40,27,6,8
Walsall,E00168249,271,33,86,37,32,20,50,12,1,0
Walsall,E00168250,172,17,48,17,19,4,26,29,7,5
Walsall,E00168251,217,24,58,43,28,11,12,36,5,0
Walsall,E00168252,356,13,45,31,41,32,97,68,25,4
Walsall,E00168253,309,22,62,27,32,36,65,49,11,5
Walsall,E00168254,367,17,39,39,37,40,103,69,21,2
Walsall,E00168255,333,15,24,5,26,38,65,79,71,10
Walsall,E00168256,262,5,30,14,28,16,64,63,36,6
Walsall,E00168257,210,8,54,17,5,21,40,16,27,22
Walsall,E00168258,190,25,62,28,24,15,7,13,11,5
Walsall,E00168259,220,63,55,12,24,13,29,6,14,4
Walsall,E00168260,301,87,103,32,24,21,19,15,0,0
Walsall,E00168261,323,38,69,47,72,21,37,28,8,3
Walsall,E00168262,358,67,108,25,58,31,48,16,2,3
Walsall,E00168263,319,40,59,67,32,18,65,37,1,0
Walsall,E00168264,447,103,113,52,56,27,52,43,1,0
Walsall,E00168265,526,87,112,56,64,38,79,77,11,2
Walsall,E00168266,379,83,113,31,59,23,25,33,9,3
Walsall,E00168267,332,49,76,48,47,40,26,37,9,0
Walsall,E00168268,280,32,77,48,41,29,19,24,10,0
Walsall,E00168269,258,25,40,37,32,36,37,48,1,2
Walsall,E00168270,281,23,34,15,31,23,55,78,19,3
Walsall,E00168271,352,10,28,23,25,44,79,102,38,3
Walsall,E00168272,366,3,27,14,17,48,93,90,69,5
Walsall,E00168273,327,25,32,28,13,24,67,85,51,2
Walsall,E00168274,503,28,71,25,39,63,155,72,43,7
Walsall,E00168275,483,81,166,47,113,19,25,14,13,5
Walsall,E00168276,200,15,29,11,13,23,49,42,12,6
Waltham Forest,E00021768,578,44,99,41,106,27,76,61,43,81
Waltham Forest,E00021769,408,37,100,36,75,16,42,46,38,18
Waltham Forest,E00021770,355,23,58,59,49,26,37,21,32,50
Waltham Forest,E00021772,293,9,72,26,28,21,43,34,35,25
Waltham Forest,E00021773,371,25,46,21,70,16,29,33,48,83
Waltham Forest,E00021774,370,30,56,37,34,40,46,57,36,34
Waltham Forest,E00021775,367,29,80,32,64,36,30,39,32,25
Waltham Forest,E00021776,377,33,99,25,55,26,51,39,34,15
Waltham Forest,E00021777,403,23,42,47,24,43,66,66,56,36
Waltham Forest,E00021778,384,40,45,48,66,34,32,44,28,47
Waltham Forest,E00021779,412,35,95,33,74,40,54,37,7,37
Waltham Forest,E00021780,252,17,61,13,37,13,38,20,7,46
Waltham Forest,E00021781,275,12,53,25,50,24,53,27,21,10
Waltham Forest,E00021782,472,27,91,51,101,28,60,65,11,38
Waltham Forest,E00021783,409,16,106,28,109,22,44,48,30,6
Waltham Forest,E00021784,359,26,73,20,61,25,47,43,41,23
Waltham Forest,E00021785,196,16,69,13,22,13,20,23,14,6
Waltham Forest,E00021786,382,29,76,29,75,30,43,34,26,40
Waltham Forest,E00021787,407,23,59,45,88,27,27,60,36,42
Waltham Forest,E00021788,367,28,59,34,64,37,45,36,42,22
Waltham Forest,E00021789,551,33,117,26,101,80,31,75,61,27
Waltham Forest,E00021790,482,54,114,38,77,51,39,44,40,25
Waltham Forest,E00021791,372,15,57,24,37,23,74,74,48,20
Waltham Forest,E00021792,364,36,70,41,43,39,37,49,42,7
Waltham Forest,E00021793,281,2,49,38,30,15,73,37,25,12
Waltham Forest,E00021794,267,9,41,42,47,10,43,35,33,7
Waltham Forest,E00021795,354,12,32,35,46,39,58,42,70,20
Waltham Forest,E00021796,383,21,54,22,87,42,26,72,41,18
Waltham Forest,E00021797,330,15,56,26,49,51,31,63,37,2
Waltham Forest,E00021798,275,4,31,19,38,29,28,90,36,0
Waltham Forest,E00021799,298,32,60,34,39,14,48,36,19,16
Waltham Forest,E00021800,325,14,64,39,57,29,40,34,28,20
Waltham Forest,E00021801,287,12,59,20,65,13,45,27,18,28
Waltham Forest,E00021802,207,14,38,20,21,15,42,29,22,6
Waltham Forest,E00021803,260,32,39,25,58,27,23,15,15,26
Waltham Forest,E00021804,278,24,59,17,35,27,26,32,22,36
Waltham Forest,E00021805,316,13,97,18,46,27,36,33,29,17
Waltham Forest,E00021807,356,37,70,45,64,20,69,34,17,0
Waltham Forest,E00021808,369,26,57,41,55,44,48,34,12,52
Waltham Forest,E00021809,356,38,68,31,64,27,33,32,59,4
Waltham Forest,E00021810,617,46,126,66,95,55,80,68,66,15
Waltham Forest,E00021811,370,41,107,35,44,31,46,43,9,14
Waltham Forest,E00021812,481,37,140,46,110,28,21,65,21,13
Waltham Forest,E00021813,358,23,88,40,43,39,38,39,10,38
Waltham Forest,E00021814,419,23,52,43,51,54,64,65,59,8
Waltham Forest,E00021815,235,7,21,23,54,21,29,37,40,3
Waltham Forest,E00021816,141,2,21,12,16,6,28,21,35,0
Waltham Forest,E00021817,411,17,110,32,59,33,53,61,30,16
Waltham Forest,E00021818,336,18,44,27,28,27,59,69,56,8
Waltham Forest,E00021819,500,17,81,82,29,54,69,62,84,22
Waltham Forest,E00021820,347,13,83,52,55,14,50,45,32,3
Waltham Forest,E00021821,338,20,27,34,60,31,67,64,18,17
Waltham Forest,E00021822,266,17,54,25,37,30,54,26,18,5
Waltham Forest,E00021823,367,21,61,31,43,22,48,44,22,75
Waltham Forest,E00021824,495,30,121,53,95,25,65,47,15,44
Waltham Forest,E00021825,278,14,40,26,42,21,52,27,19,37
Waltham Forest,E00021826,141,5,35,9,14,10,23,24,16,5
Waltham Forest,E00021827,378,6,71,40,31,26,59,64,79,2
Waltham Forest,E00021828,339,12,56,21,24,32,78,40,18,58
Waltham Forest,E00021829,476,25,53,48,123,69,50,54,25,29
Waltham Forest,E00021830,367,4,34,20,34,31,66,69,93,16
Waltham Forest,E00021831,243,13,37,32,27,9,34,59,16,16
Waltham Forest,E00021832,334,9,19,41,126,28,44,30,32,5
Waltham Forest,E00021833,396,20,46,25,28,104,51,61,54,7
Waltham Forest,E00021834,325,23,52,25,56,33,55,50,23,8
Waltham Forest,E00021835,294,14,46,29,48,27,65,29,36,0
Waltham Forest,E00021836,561,22,67,32,88,57,82,68,114,31
Waltham Forest,E00021837,294,13,53,23,81,15,32,26,38,13
Waltham Forest,E00021838,246,12,72,28,25,18,30,30,22,9
Waltham Forest,E00021839,343,24,92,53,26,27,53,25,36,7
Waltham Forest,E00021840,360,40,83,57,63,37,34,26,19,1
Waltham Forest,E00021841,381,27,59,50,67,16,66,36,42,18
Waltham Forest,E00021842,434,50,91,96,81,31,31,29,21,4
Waltham Forest,E00021843,359,29,65,46,57,46,44,22,35,15
Waltham Forest,E00021844,449,32,89,55,41,31,95,52,47,7
Waltham Forest,E00021845,374,54,48,57,83,8,59,51,10,4
Waltham Forest,E00021846,309,18,82,22,42,12,50,39,22,22
Waltham Forest,E00021847,340,30,92,18,55,11,69,40,21,4
Waltham Forest,E00021848,460,33,68,34,82,16,61,73,87,6
Waltham Forest,E00021849,327,49,61,21,62,19,51,42,13,9
Waltham Forest,E00021850,382,42,79,18,124,22,53,22,21,1
Waltham Forest,E00021851,304,43,109,58,28,24,20,20,0,2
Waltham Forest,E00021852,400,39,95,55,46,61,39,39,15,11
Waltham Forest,E00021853,378,29,77,61,45,28,40,26,58,14
Waltham Forest,E00021854,380,28,106,43,104,30,32,28,4,5
Waltham Forest,E00021855,316,37,62,51,61,40,23,23,10,9
Waltham Forest,E00021856,422,51,85,68,94,31,33,32,22,6
Waltham Forest,E00021857,292,13,40,34,46,31,55,32,31,10
Waltham Forest,E00021858,436,46,147,38,59,47,25,33,35,6
Waltham Forest,E00021859,387,40,69,38,118,9,56,45,11,1
Waltham Forest,E00021860,449,28,111,36,64,48,60,52,41,9
Waltham Forest,E00021861,452,28,106,61,95,44,56,46,11,5
Waltham Forest,E00021862,376,35,104,31,70,33,36,39,20,8
Waltham Forest,E00021863,465,24,95,33,81,31,78,72,39,12
Waltham Forest,E00021864,282,21,87,38,36,22,32,28,16,2
Waltham Forest,E00021865,317,28,87,49,46,27,16,31,22,11
Waltham Forest,E00021866,280,34,63,33,67,5,36,26,14,2
Waltham Forest,E00021867,304,18,76,21,58,11,59,36,17,8
Waltham Forest,E00021868,381,32,69,30,64,34,62,26,39,25
Waltham Forest,E00021869,381,54,94,41,54,29,50,39,19,1
Waltham Forest,E00021870,380,60,116,36,52,25,38,31,10,12
Waltham Forest,E00021871,298,40,80,32,50,35,18,11,29,3
Waltham Forest,E00021873,512,29,78,37,73,11,62,38,17,167
Waltham Forest,E00021874,399,20,67,46,76,47,41,57,45,0
Waltham Forest,E00021875,296,19,82,43,19,42,25,33,25,8
Waltham Forest,E00021876,281,17,45,46,70,32,31,29,11,0
Waltham Forest,E00021878,290,44,54,32,73,17,28,24,13,5
Waltham Forest,E00021879,280,91,77,46,26,13,14,7,6,0
Waltham Forest,E00021880,417,94,113,77,31,42,28,24,4,4
Waltham Forest,E00021881,313,46,84,35,70,19,12,25,5,17
Waltham Forest,E00021882,375,82,79,63,56,14,32,34,15,0
Waltham Forest,E00021883,316,67,107,49,51,21,5,11,5,0
Waltham Forest,E00021884,300,71,79,41,75,9,8,10,1,6
Waltham Forest,E00021885,270,14,32,42,61,17,36,43,20,5
Waltham Forest,E00021886,393,125,128,35,52,4,28,7,14,0
Waltham Forest,E00021887,214,16,44,42,26,23,30,24,9,0
Waltham Forest,E00021888,203,29,68,25,36,9,16,13,4,3
Waltham Forest,E00021889,370,81,78,45,62,5,32,38,16,13
Waltham Forest,E00021890,358,83,100,53,71,14,24,9,4,0
Waltham Forest,E00021891,370,80,102,50,46,28,40,16,2,6
Waltham Forest,E00021892,212,31,42,30,47,2,27,17,16,0
Waltham Forest,E00021893,358,35,107,52,71,9,41,22,10,11
Waltham Forest,E00021894,253,54,60,24,56,9,29,13,4,4
Waltham Forest,E00021895,256,57,89,24,53,9,12,6,6,0
Waltham Forest,E00021896,263,75,77,29,59,5,12,5,1,0
Waltham Forest,E00021897,262,35,55,52,53,13,20,18,16,0
Waltham Forest,E00021898,388,22,53,45,56,27,61,79,33,12
Waltham Forest,E00021899,204,40,49,31,23,21,22,11,4,3
Waltham Forest,E00021900,343,6,54,61,56,24,71,42,24,5
Waltham Forest,E00021901,297,32,79,40,61,23,29,21,10,2
Waltham Forest,E00021902,412,52,113,44,96,33,45,27,2,0
Waltham Forest,E00021903,315,44,52,49,61,31,23,42,9,4
Waltham Forest,E00021904,218,20,31,30,26,18,32,41,18,2
Waltham Forest,E00021905,411,73,61,53,75,36,44,42,12,15
Waltham Forest,E00021906,167,7,26,19,12,6,34,36,24,3
Waltham Forest,E00021907,183,16,46,35,36,9,19,20,2,0
Waltham Forest,E00021908,400,55,117,42,89,14,40,22,19,2
Waltham Forest,E00021909,350,34,98,89,42,19,20,24,18,6
Waltham Forest,E00021910,366,57,77,55,47,23,45,25,34,3
Waltham Forest,E00021911,576,49,147,80,101,39,71,44,39,6
Waltham Forest,E00021912,190,16,46,31,16,11,24,37,9,0
Waltham Forest,E00021913,254,34,73,29,28,15,41,18,12,4
Waltham Forest,E00021914,356,40,82,46,96,19,25,44,0,4
Waltham Forest,E00021915,335,42,90,65,64,22,17,16,19,0
Waltham Forest,E00021916,322,47,82,22,79,29,25,28,5,5
Waltham Forest,E00021917,314,19,73,19,54,30,55,35,26,3
Waltham Forest,E00021918,244,30,67,35,27,13,33,12,24,3
Waltham Forest,E00021919,338,30,51,53,97,11,30,46,20,0
Waltham Forest,E00021920,321,36,98,31,67,22,18,43,6,0
Waltham Forest,E00021921,308,61,112,35,49,13,7,21,1,9
Waltham Forest,E00021922,344,93,108,53,43,3,14,25,5,0
Waltham Forest,E00021923,251,42,68,39,50,15,23,10,2,2
Waltham Forest,E00021924,306,23,75,37,73,22,39,30,4,3
Waltham Forest,E00021925,314,28,59,33,88,12,44,34,11,5
Waltham Forest,E00021926,287,23,51,31,50,12,60,26,33,1
Waltham Forest,E00021927,334,58,109,53,42,30,19,19,4,0
Waltham Forest,E00021928,309,41,74,62,59,24,19,29,0,1
Waltham Forest,E00021929,344,57,115,42,59,12,25,22,5,7
Waltham Forest,E00021930,331,24,64,45,67,31,34,42,24,0
Waltham Forest,E00021931,394,59,130,46,60,32,42,10,15,0
Waltham Forest,E00021932,271,16,51,45,17,8,36,57,31,10
Waltham Forest,E00021933,313,61,89,31,64,17,29,17,5,0
Waltham Forest,E00021934,328,39,87,61,72,18,27,20,1,3
Waltham Forest,E00021935,331,63,111,43,38,13,23,21,8,11
Waltham Forest,E00021936,284,55,82,21,67,18,3,28,2,8
Waltham Forest,E00021937,376,33,85,63,92,18,30,17,22,16
Waltham Forest,E00021938,303,41,62,54,71,14,14,26,12,9
Waltham Forest,E00021939,317,56,84,35,57,25,18,34,8,0
Waltham Forest,E00021940,307,52,56,46,63,26,33,28,3,0
Waltham Forest,E00021941,305,45,88,38,27,16,36,24,14,17
Waltham Forest,E00021942,348,42,113,38,96,22,14,13,10,0
Waltham Forest,E00021943,394,48,100,42,72,22,42,36,17,15
Waltham Forest,E00021944,411,33,89,56,84,35,28,56,15,15
Waltham Forest,E00021945,394,41,110,52,66,19,47,37,14,8
Waltham Forest,E00021946,595,49,44,73,154,43,111,76,42,3
Waltham Forest,E00021947,311,56,65,21,50,15,18,49,26,11
Waltham Forest,E00021949,399,33,63,37,58,32,58,53,56,9
Waltham Forest,E00021950,390,91,98,13,59,19,37,20,46,7
Waltham Forest,E00021951,329,40,100,25,47,31,36,25,14,11
Waltham Forest,E00021952,376,42,87,64,37,18,43,40,40,5
Waltham Forest,E00021953,327,64,65,18,56,24,40,7,52,1
Waltham Forest,E00021954,419,57,114,45,36,29,44,62,29,3
Waltham Forest,E00021955,464,43,84,60,59,33,74,40,64,7
Waltham Forest,E00021956,401,57,99,45,47,28,41,28,37,19
Waltham Forest,E00021957,390,59,55,42,105,29,49,20,31,0
Waltham Forest,E00021958,364,33,67,43,45,22,58,64,29,3
Waltham Forest,E00021959,460,26,109,39,144,25,47,30,22,18
Waltham Forest,E00021960,400,44,97,39,68,33,42,58,10,9
Waltham Forest,E00021961,423,14,88,42,90,49,42,56,32,10
Waltham Forest,E00021962,308,23,102,36,43,33,26,33,7,5
Waltham Forest,E00021963,420,27,135,37,73,19,39,48,28,14
Waltham Forest,E00021964,284,29,94,26,33,21,43,26,3,9
Waltham Forest,E00021965,326,28,65,47,78,37,25,37,3,6
Waltham Forest,E00021966,392,24,85,41,57,17,57,62,33,16
Waltham Forest,E00021967,254,44,57,28,64,14,16,14,9,8
Waltham Forest,E00021969,432,46,102,61,61,33,46,60,16,7
Waltham Forest,E00021970,351,24,51,59,48,40,45,35,39,10
Waltham Forest,E00021971,389,9,34,61,80,30,72,39,51,13
Waltham Forest,E00021972,177,2,32,18,29,1,31,21,37,6
Waltham Forest,E00021973,298,42,118,14,60,16,14,12,5,17
Waltham Forest,E00021974,397,50,87,45,89,47,24,29,16,10
Waltham Forest,E00021975,378,50,76,60,70,18,50,29,10,15
Waltham Forest,E00021976,312,21,59,47,73,15,29,41,12,15
Waltham Forest,E00021977,385,53,104,30,63,30,20,47,12,26
Waltham Forest,E00021978,409,43,98,44,59,23,38,19,71,14
Waltham Forest,E00021979,443,80,129,33,52,53,27,46,22,1
Waltham Forest,E00021980,298,43,68,22,44,24,45,29,22,1
Waltham Forest,E00021981,512,44,116,50,128,31,51,31,37,24
Waltham Forest,E00021982,282,27,55,18,45,35,42,35,23,2
Waltham Forest,E00021983,397,41,79,64,67,45,32,23,30,16
Waltham Forest,E00021984,438,30,89,53,89,30,65,37,41,4
Waltham Forest,E00021985,301,17,81,29,60,18,28,39,18,11
Waltham Forest,E00021986,415,35,75,40,64,40,69,57,24,11
Waltham Forest,E00021987,357,25,69,41,76,44,45,21,28,8
Waltham Forest,E00021988,524,46,68,72,112,40,85,56,18,27
Waltham Forest,E00021989,362,12,99,53,69,20,48,14,27,20
Waltham Forest,E00021990,363,35,75,18,41,36,66,41,42,9
Waltham Forest,E00021991,304,39,66,66,26,13,40,28,16,10
Waltham Forest,E00021992,273,42,50,34,35,24,28,48,10,2
Waltham Forest,E00021993,366,13,128,23,70,20,35,28,32,17
Waltham Forest,E00021994,313,35,86,50,48,24,42,15,8,5
Waltham Forest,E00021995,461,73,101,51,110,30,38,36,16,6
Waltham Forest,E00021996,340,32,72,39,70,29,19,46,25,8
Waltham Forest,E00021997,458,55,118,24,98,40,46,56,19,2
Waltham Forest,E00021998,473,35,119,53,45,34,94,54,30,9
Waltham Forest,E00021999,331,14,69,46,56,19,49,51,18,9
Waltham Forest,E00022000,240,25,49,19,43,18,42,29,8,7
Waltham Forest,E00022001,358,45,100,27,52,25,29,67,10,3
Waltham Forest,E00022002,368,42,127,47,35,39,31,16,12,19
Waltham Forest,E00022003,382,22,76,16,86,52,44,38,27,21
Waltham Forest,E00022004,465,41,71,31,39,49,17,211,5,1
Waltham Forest,E00022005,460,33,72,41,87,41,75,31,55,25
Waltham Forest,E00022006,338,54,36,40,88,41,14,37,16,12
Waltham Forest,E00022007,405,74,146,32,43,26,36,34,8,6
Waltham Forest,E00022008,367,48,71,35,77,17,42,31,23,23
Waltham Forest,E00022009,268,15,52,22,44,38,39,50,3,5
Waltham Forest,E00022010,379,28,74,50,89,43,37,32,22,4
Waltham Forest,E00022011,363,26,74,25,90,14,42,58,18,16
Waltham Forest,E00022012,415,33,58,47,84,32,65,50,46,0
Waltham Forest,E00022013,377,47,119,35,70,22,29,20,31,4
Waltham Forest,E00022014,355,34,104,33,49,22,42,41,26,4
Waltham Forest,E00022015,323,53,84,71,44,19,31,10,11,0
Waltham Forest,E00022016,240,46,51,33,36,17,29,11,17,0
Waltham Forest,E00022017,348,71,99,38,43,43,20,18,4,12
Waltham Forest,E00022018,329,14,62,45,61,20,54,22,43,8
Waltham Forest,E00022019,386,87,82,65,62,17,45,26,2,0
Waltham Forest,E00022020,320,76,113,25,50,18,10,12,16,0
Waltham Forest,E00022021,310,69,82,36,39,28,28,8,17,3
Waltham Forest,E00022022,423,62,100,48,89,19,36,33,31,5
Waltham Forest,E00022023,278,26,71,35,43,22,31,23,24,3
Waltham Forest,E00022024,354,57,129,41,52,11,37,22,5,0
Waltham Forest,E00022025,375,72,142,40,53,10,23,15,11,9
Waltham Forest,E00022026,409,76,99,47,112,19,23,17,6,10
Waltham Forest,E00022027,414,71,116,47,61,37,38,38,6,0
Waltham Forest,E00022028,406,57,115,31,64,28,49,45,11,6
Waltham Forest,E00022029,480,106,135,63,87,45,22,10,7,5
Waltham Forest,E00022030,377,36,118,70,60,17,29,22,7,18
Waltham Forest,E00022031,516,76,87,60,90,27,86,48,30,12
Waltham Forest,E00022032,363,73,119,39,42,22,37,26,1,4
Waltham Forest,E00022033,395,24,66,53,47,41,52,65,36,11
Waltham Forest,E00022034,329,52,104,28,37,22,44,25,17,0
Waltham Forest,E00022035,362,59,75,30,71,30,24,63,8,2
Waltham Forest,E00022036,363,58,112,42,59,24,23,38,7,0
Waltham Forest,E00022037,332,33,88,39,53,16,42,15,23,23
Waltham Forest,E00022038,358,47,134,50,38,27,33,15,12,2
Waltham Forest,E00022039,320,53,79,66,35,13,33,28,13,0
Waltham Forest,E00022040,353,54,95,54,54,29,31,28,8,0
Waltham Forest,E00022041,391,8,28,44,57,30,77,50,97,0
Waltham Forest,E00022042,320,5,47,32,35,13,48,58,77,5
Waltham Forest,E00022043,379,76,116,43,65,13,37,25,1,3
Waltham Forest,E00022044,366,93,108,36,52,15,27,25,4,6
Waltham Forest,E00022045,292,11,25,45,35,17,55,44,51,9
Waltham Forest,E00022046,410,74,107,53,68,26,44,15,18,5
Waltham Forest,E00022047,234,46,56,47,27,10,24,11,12,1
Waltham Forest,E00022048,276,62,81,31,40,13,24,10,8,7
Waltham Forest,E00022049,351,18,69,31,56,32,48,49,35,13
Waltham Forest,E00022050,295,32,45,31,57,8,50,47,18,7
Waltham Forest,E00022051,336,23,80,45,45,32,39,44,23,5
Waltham Forest,E00022052,273,8,60,32,35,12,37,51,38,0
Waltham Forest,E00022053,424,21,95,80,57,19,32,55,61,4
Waltham Forest,E00022054,326,34,86,50,70,28,26,29,3,0
Waltham Forest,E00022055,207,42,65,25,31,11,20,6,7,0
Waltham Forest,E00022056,302,43,74,45,61,16,21,26,9,7
Waltham Forest,E00022057,227,12,54,31,28,38,19,16,25,4
Waltham Forest,E00022058,323,47,82,39,50,29,33,13,22,8
Waltham Forest,E00022059,296,36,76,38,55,30,26,17,11,7
Waltham Forest,E00022060,267,19,42,40,41,16,39,45,23,2
Waltham Forest,E00022061,364,22,95,44,93,20,41,43,6,0
Waltham Forest,E00022062,355,22,56,31,72,13,64,57,39,1
Waltham Forest,E00022063,383,56,64,35,46,35,65,59,23,0
Waltham Forest,E00022064,283,16,38,41,43,30,50,42,15,8
Waltham Forest,E00022065,316,22,43,42,54,20,66,54,12,3
Waltham Forest,E00022066,355,19,39,41,52,28,73,56,44,3
Waltham Forest,E00022067,330,29,71,28,56,39,43,37,21,6
Waltham Forest,E00022068,322,16,68,31,34,42,26,79,17,9
